Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
Triton Valves,505978,,Auto Ancillaries,2806.5,2.05,291.88,419.89,-0.6,122.62,,,0,0,-11.58,1,1.14,15.07,19.74,19.23,,89.42,,,52.85,413.45,75.94,4.02,91.88,43.27,21.96,-1.72,,-3.71,22.11,23.23,2581.14,1992.18
Triven.Engg.Ind.,532356,TRIVENI,Sugar,311.1,-1.03,6809.92,5500.52,424.43,391.16,16.04,0.46,1.04,3.97,23.28,17.53,1.22,9.61,7.76,8.18,10.76,8.31,16.7,34.88,60.98,6838.64,-18.07,2.53,15.07,54.11,38.45,23.02,23.36,12.16,16.26,14.02,332.04,329.89
Triveni Enterpri,538569,,Trading,1.76,-1.68,10.07,0,0.17,0.62,59.24,,0,0,3.13,4.08,1.24,44.38,-100,,,-85.59,38.67,,3.49,10.65,-30.71,0.96,-18.89,-51.94,-54.38,4.81,3.43,1.95,51.6,61.21,2.11,2.58
Triveni Glass,502281,,Glass & Glass Products,21.91,-0.14,27.65,0,1.28,18.69,21.6,2.86,0,0,,264.57,,30.66,,,,37.63,38.56,7.56,5.42,46.29,20.78,,5.18,60.39,17.68,,,26.18,15.73,9.89,25.54,22.59
Triveni Turbine,533655,TRITURBINE,Electric Equipment,536.7,-1.7,17060.45,1565.65,248.48,3.35,68.66,5.33,0.24,0,21.5,28.7,13.39,47.39,40.5,15.11,10.68,46.13,14.27,12.89,55.84,16707.15,22.42,19.23,67.01,73.85,37.86,18.62,20.01,12.86,54.69,39.15,463.84,410.15
TruCap Finance,540268,TRU,Finance & Investments,63.55,3.17,742.9,152.52,6.92,465.5,107.36,17.01,0.02,2.1,2.89,10.44,9.21,12.87,33.43,86.2,60.49,-0.86,10.83,6.31,46.84,1135.43,8.08,3.22,43.13,-12.76,45.76,3.52,4.58,0.96,126.93,92.82,66.64,67.46
TTI Enterprise,538597,,Finance & Investments,13.7,-1.72,34.8,2.98,-0.97,0,,,0,0,-0.97,-0.22,11.17,-46.96,-65.86,20.22,1.34,-115.56,0,,62.23,34.75,10.66,1.36,16.3,135.42,56.7,-0.05,-0.16,-0.97,112.89,99.44,16.26,15.5
TTK Healthcare,507747,TTKHLTCARE,Diversified - Medium / Small,1476.45,0.09,2086.27,751.88,64.99,24.89,32.1,0.31,0.68,2.21,99.74,10.06,1.75,12.38,6.86,3.94,4.66,128.28,272.79,103.82,74.56,1266.2,27.14,2.15,40.21,43.99,16.85,58.72,44.03,74.03,39.44,35.95,1474.3,1331.27
TTK Prestige,517506,TTKPRESTIG,Domestic Appliances,671.3,0.01,9305.16,2666.46,225.92,162.02,41.19,4.9,0.89,32.72,13.78,18.14,3.19,23.31,-6.89,10.24,8.22,-17.77,9.36,8.4,70.41,8869.91,-14.29,4.75,0.05,-2.96,-1.6,16.17,16.3,10.11,42.97,43.33,731.93,761.47
Tube Investments,540762,TIINDIA,Auto Ancillaries,3736.6,-1.82,72266.67,16178.46,876.72,821.29,82.43,1.83,0.09,7.07,26.97,31.58,4.83,32.81,10.97,46.59,24.51,9.38,43.89,44.94,45.11,72253.44,25.04,16.33,45.36,47.47,57.69,24.38,22.85,13.75,62.73,59.36,3626.95,3344.88
Tulasee Bio-Eth.,524514,,Chemicals,20.4,0,12.02,0,-0.13,7.21,,,0,0,-12.68,-1.61,,-147.85,,,,7.14,,4.32,48.89,19.22,-29.63,13.98,-2.86,7.11,11.63,-12.02,-1.95,-1.55,22.24,21.19,24.84,21.18
Tulive Developer,505285,,Construction,496.15,0,106.89,0,-0.49,0,,,0,0,-1.05,-1.22,,562.26,,,,7.55,5.6,,72.1,106.83,183.51,2.2,175.64,37.23,14.09,-2.17,-1.23,-1.05,32.57,39.27,348.94,246.97
Tulsyan NEC,513629,,Steel - Medium / Small,84.21,-0.28,126.32,968.88,26.12,329.04,4.84,0.28,0,0,12.7,-1.08,0.45,12.1,-7.84,10.84,7.7,407.66,29.19,17.35,70.45,454.68,25.11,0.33,54.66,,,,,3.65,8.21,8.21,94.84,84.97
Tuni Text. Mills,531411,,Textiles - Processing,1.83,-0.54,23.91,40.63,0.27,11.31,88.56,6.42,0,0,-0.54,4.48,0.82,17.49,-2.1,18.99,5.25,-30.77,20.89,13.79,21.73,35.15,14.37,1.82,24.49,54.11,57.3,0.61,0.14,-0.22,81.5,79.5,1.92,1.84
Tuticorin Alkali,506808,,Chlor Alkali / Soda Ash,80.17,-0.67,976.76,398.08,106.13,4.06,9.2,0.27,0,0,,,1.9,10.78,-13.38,48.5,30.88,57.6,84.49,33.62,75,975.8,1.85,20.26,66.36,93.24,77.81,,,29.64,10.44,10.44,91.47,85.21
TV Vision,540083,TVVISION,Entertainment / Electronic Media Software,4.9,2.08,18.98,61.02,-23.41,2.24,,,0,0,,-31.9,0.28,-3.94,-18.32,-13.4,-10.35,-11.26,9.76,-2.34,36.6,19.74,44.12,,117.78,26.86,8.9,,,-14.62,,,5.57,4.31
TV18 Broadcast,532800,TV18BRDCST,Entertainment / Electronic Media Software,46.4,-1.07,7954.63,8052.29,22.78,1884.2,349.19,5.18,0,0,2.46,2.75,0.86,15.4,34.15,4.54,32,-89.68,-22.61,67.42,60.4,5082.98,6.3,0.46,64.54,16.76,5.5,8.78,7.79,1.11,16.91,18.45,54.15,49.37
TVS Elec.,532513,TVSELECT,Computers - Hardware,250.6,-0.73,467.38,354.21,1.21,15.2,386.26,-44.09,0.8,39.18,9.17,12.35,1.35,41.63,-0.69,10.96,-38.77,-90.07,19.06,-8.76,59.91,477.1,-27.56,4.68,-22.26,25.35,5.44,9.36,9.08,4.2,44.57,36.53,304.85,335.76
TVS Holdings,520056,TVSHLTD,Castings & Forgings,8164.85,0.75,16519.21,38397.69,796.83,26402.89,20.73,1.72,1.15,18.38,14.78,11.93,1.17,7.09,19.97,19.12,13.9,25.25,19.66,12.06,74.45,39397.52,49.52,6.86,158.74,47.05,27.8,12.86,13.99,3.63,16.84,15.58,8352.12,6690.34
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,2151.85,1.35,102234.39,37133.67,1635.06,12852.6,62.53,4.59,0.37,17.88,25.64,13.19,3.51,21.22,21.64,19.26,14.37,30.99,25.08,13.61,50.27,112265.52,41.4,16.17,99.39,55.24,35.51,20.82,21.21,4.1,44.87,42.56,2085.74,1764.38
TVS Srichakra,509243,TVSSRICHAK,Tyres,3907.8,-2.34,2993.37,2843.55,107.34,702.82,27.89,-4.13,0.82,31.53,8.16,9.23,1.23,12.86,-4.34,12.37,6.76,52.54,-0.18,-6.76,45.7,3677.04,22.54,2.79,55.26,30.17,12.2,7.49,9.41,3.4,27.46,22.12,4220.26,3893.9
TVS Supply,543965,TVSSCS,Miscellaneous,154.4,0.36,6796.06,9153.91,-65.76,2213.79,,,0,0,5.13,6.43,0.79,10.76,10.66,15.72,,120.3,29.97,,43.16,8054.48,-28.37,3.8,,,,-14.54,,0.66,965.91,965.91,176.15,194.51
Tyche Industries,532384,,Pharmaceuticals - Indian - Bulk Drugs,175.65,-1.01,180.04,80.6,14.24,0,12.64,0.65,1.14,0,12.91,17.39,1.42,5.05,21.44,0.76,7.88,14.38,-6.69,19.47,61.97,106.97,1.21,1.49,27.1,-1.02,20.55,15.08,16.45,10.91,12.71,12.05,179.54,175.33
Tyroon Tea Co.,526945,,Tea,92.3,-3.74,31.38,40.19,1.93,2.26,16.26,0.2,0,0,10.78,11.8,0.79,8.42,-7.76,14.19,10.99,-68.57,52.68,83.19,67.22,33.41,4.54,0.73,1.44,27.91,23.79,21.07,11.14,6.87,4.61,4.36,93.75,93.1
U P Hotels,509960,,Hotels,1383.45,-0.9,747.06,140.29,27.38,0.39,27.28,0.54,0,0,21.65,29.4,5.63,16.47,25.05,10.28,6.82,49.86,86.28,50.11,88.39,736.42,53.46,5.98,123.19,,,7.54,6.77,17.79,20.59,20.59,1321.91,1028.04
