Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,143.7,0.49,507.07,738.43,52.83,107.19,9.6,0.6,0.52,6.33,15.34,19.27,0.82,5.59,5.37,9.85,10.47,22.46,20.05,15.98,44.95,574.1,7.68,1.58,118.22,60.51,30.34,14.06,14.3,8.1,8.41,7.93,152.92,142
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,41.6,0,43.68,20.03,7.72,21,5.66,,0,0,-70.57,-57.67,-6.83,7.83,-212.4,-33.45,,138.72,12.85,,64.25,61.95,111.7,1.57,103.92,43.09,16.66,2.17,-22.35,-50.88,1.7,1.83,43.13,31.86
360 ONE,542772,360ONE,Finance & Investments,675.6,1.15,24244.76,2261.22,717.01,7901.17,33.81,2.92,2.55,373.46,21.41,13.37,15.12,20.97,16.54,10.63,3.84,7.35,48.27,11.59,17.77,31126.87,34.55,7.42,54.04,30.22,,18.04,15.32,6,26.98,28.52,678.44,593.53
3B Blackbio,532067,,Healthcare,769.6,0.58,577.82,69.24,27.81,1.34,20.78,0.42,0.32,7.22,16,19.06,8.4,12.97,11.44,28.91,21.65,19.66,49.97,49.88,38.43,519.33,-2.06,2.77,91.8,38.54,59.1,44.48,42.57,12.77,13.11,10.69,795.25,703.62
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,39.5,0.25,668.46,807.3,-40.3,103.62,,,0,0,0.45,2.59,0.97,55.47,13.02,1.45,-5.96,-245.33,-64.54,-46.76,0,706.15,-2.35,1.57,46.84,75.16,59.3,-0.88,4.49,0.31,99.78,8.57,46.6,43.92
3M India,523395,3MINDIA,Diversified - Large,31193.35,-0.9,35154.91,3880.51,498.31,23.8,70.55,11.74,0.32,230.2,18.75,25.29,9.21,46.95,7.91,10.53,7.87,25.06,23.84,6.01,75,34374.85,-1.93,16.85,35.07,1.62,5.16,12.33,13.2,13.48,81.74,81.2,31290.53,30221.99
3P Land Hold.,516092,3PLAND,Finance & Investments,27,-4.93,48.6,3.14,1.72,0,28.26,0.32,0,0,2.32,3.07,19.26,20.39,26.1,10.85,57.5,14.67,-6.76,88.82,73.3,48.54,12.73,0.57,32.03,47.58,19.24,1.58,2.1,2.27,26.72,25.07,31.35,27.86
5Paisa Capital,540776,5PAISA,Finance & Investments,505.05,3.01,1575.3,372.3,63.08,280.3,24.97,0.83,0,0,10.6,12.42,0.64,1.88,10.94,46.19,76.67,87.96,95.88,30.06,32.84,217.87,14.55,3.14,83.69,26.03,28.38,8.83,4.7,2.68,58.21,61.32,538.87,490.82
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,381.6,0,1758.36,546.17,197.3,5.52,8.91,,0.52,-56.53,-1.43,1.99,2.24,1.95,147.39,11.07,-2.08,5389.59,4.82,,45.63,649,36.14,0.54,118.37,76.46,36.31,-1.08,-1.2,-2.13,16.99,32.57,433.4,367.72
7NR Retail Ltd,540615,,Trading,4.99,-2.35,13.98,21,-1.09,3.27,,,0,0,1.18,1.76,0.36,-23.93,-57.41,59.1,36.45,-251.39,29.7,24.57,11.57,16.99,-4.04,0.48,-13.97,3.81,-31.27,1.22,1.32,0.69,71.65,113.33,6,6.53
7Seas Enter.,540874,,Computers - Software - Medium / Small,38.07,0.37,71.04,9.7,0.83,3.98,85.59,3.89,0,0,,17.12,13.51,57.81,103.78,379.72,32.73,16.9,31.57,22.02,37.46,74.58,36.94,,128.92,,32.97,,,13.11,60.79,60.79,34.63,30.73
A B B,500002,ABB,Electric Equipment,6360.85,1.3,134791.74,10446.52,1248.18,48.98,107.99,5.4,0.37,49.99,22.94,30.49,12.45,72.58,21.93,21.52,9.32,63.34,92.74,20,75,130024.55,55.21,22.67,87.56,64.1,40.44,17.77,14.06,12.29,103.99,97.82,5327.4,4583.63
A B Infrabuild,,ABINFRA,Construction,66,4.76,291.84,123.09,6,22.5,48.64,3.19,0,0,19.01,20.15,2.54,23.32,91.37,24.61,15.7,1076.47,24.62,15.26,36.82,312.22,139.56,3.78,173.29,111.76,,9.27,11.53,5.26,10.04,6.72,54.5,38.72
A B M Internatl.,,ABMINTLLTD,Trading,60.85,-2.72,57.25,101.07,0.21,6.23,272.62,,0,0,-34.09,-43.17,0.67,-34.25,26.46,-4.4,-0.74,102,-19.88,,74.7,57.19,69.03,3.34,5.28,1.09,32.59,6.55,-2.69,-23.51,27.49,18.82,56.14,53.08
A F Enterprises,538351,,Trading,5.49,-2.66,20.15,23.5,-2.77,6.71,,,0,0,-1.51,-0.67,1.09,-16.62,-51.36,,,-184.71,,,5.72,26.42,11.13,0.61,-59.48,-32.95,6.22,,,-0.2,31.73,31.73,6.37,9.2
A G Universal,,AGUL,Trading,54.35,-4.98,29.81,76,1.28,16.84,23.29,,0,0,4.26,7.32,0.78,15.1,59.03,43.81,,39.13,58.74,,70.64,46.37,-9.42,1.88,,,,11.24,,0.64,22.79,22.79,66.5,67.55
A K Spintex,539300,,Textiles - Processing,134.4,0.15,67.63,119.02,8.19,10.97,8.26,0.26,0,0,27.25,27.52,0.67,4.34,10.45,22.34,16.55,23.72,56.49,31.52,70.76,78.59,7.65,1.96,55.25,71.81,33.92,13.64,11.75,13.05,9.24,8.54,140.35,127.04
A R C Finance,540135,,Finance & Investments,0.81,-3.57,40.9,5.97,-0.23,16.88,,,0,0,0.64,2.46,8.3,37.77,-18.66,-5.81,2.89,-160.53,11.2,17.08,12.02,57.41,6.58,0.79,28.57,28.7,51.95,0.51,0.18,0.44,84,75,0.94,0.86
A-1 Acid,542012,,Trading,344.15,-0.15,395.77,217.34,1.42,6.15,278.71,21.54,0.44,47.78,7.63,9.79,1.2,60.39,-41.64,41.94,26.99,-71.77,4.52,12.94,70.03,397.97,-5.28,8.45,2.79,60.26,45.84,9.82,10.58,4.91,75.1,60.53,354.81,357.68
A.K.Capital Serv,530499,,Finance & Investments,912.45,0.66,602.22,488.74,86.29,2659.88,6.98,1.02,1.32,9.04,10.96,8.77,7.93,10.71,28.85,9.07,4.26,1.85,19.93,6.84,71.5,3223.79,26.74,0.69,118.68,42.4,22.63,11.25,11.02,3.03,3.73,3.49,928.64,769.1
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,13.5,1.89,237.76,381.22,-71.69,261.77,,,0,0,15.74,6.57,1.4,288.05,6.61,-20.67,-13.18,-711.61,28.21,15.67,28.14,489.68,39.9,6.71,104.55,53.26,-4.05,-33.36,-22.49,1.32,,13.2,13.52,11.44
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,81.9,-1.92,105.05,26.39,3.91,0,26.87,1.14,0.61,22.35,11.88,15.93,4.77,15.44,44.37,10.84,13.51,21.43,-8.04,23.47,71.51,91.88,43.68,3.98,88.93,41.89,,10.06,15.64,10.76,31.86,29.4,91.51,78.23
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,9.15,-4.69,92.64,81.05,3.77,15.58,24.57,1.7,0,0,9.19,11.25,1.17,7.54,-14,11.12,17.71,-30.06,-3.38,14.47,66.67,108.08,56.41,1.7,53.78,-10.84,50.12,10.99,11.87,5.97,25.18,21.15,9.95,8.95
Aanchal Ispat,538812,,Steel - Medium / Small,6.03,-2.11,12.57,117.75,-24.04,84.88,,,0,0,-67.59,-20.09,0.5,-4.03,-36.02,4.57,-12.78,-273.29,,,32.09,97.24,-42.63,0.71,-48.9,1.19,-8.16,-24.63,-15.05,-19.25,,9.66,7.7,9.93
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,43.65,-0.8,110.8,348.15,4.22,37.37,26.26,-2.79,0,0,3.33,6.38,0.35,13.28,-7.85,12.07,3.7,33.54,-13.33,-9.41,50.04,147,-10,0.93,81.5,22.75,8.6,5.42,6.09,1.41,18.88,12.27,46.51,45.07
Aarnav Fashions,539562,,Textiles - Products,25.22,0.52,106.53,368.19,-2.02,119.36,,,0,0,0.25,3.98,0.56,12.88,-14.93,123.75,260.68,-120.16,-42.55,29.67,72.44,222.01,-18.3,0.61,-7.07,-34.32,,3.36,3.8,0.1,16.62,27.9,29.68,32.19
Aaron Industries,,AARON,Engineering,260.75,2.42,273.09,60.2,5.67,19.69,48.16,1.14,0.38,18.59,29.69,29.71,5.04,27.2,13.99,37.68,36.54,8.21,59.13,42.16,73.06,281.54,5.42,8.45,44.18,67.38,62.79,25.36,22.4,15.78,41.58,35.15,265.79,254.95
Aartech Solonics,542580,AARTECH,Electric Equipment,154.15,0.78,163.25,25.6,1.46,3.31,111.82,6.23,0.32,28.47,4.88,6.9,7.6,64.66,32.74,29.02,17.25,-18.93,90.31,17.95,52.68,164.89,-11.05,5.41,130.07,84.19,46.08,3.89,2.49,3.99,54.98,38.64,153.15,135.17
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,434.3,-1.47,3992.74,2403.79,158.91,500.08,25.13,1.59,0.23,6.06,14.65,15.34,1.8,15.51,-1.61,15.18,16.98,4.11,5.72,15.79,57.47,4490.1,-19.95,3.58,28.68,-15.04,22.21,22.42,21.87,7.23,25.23,24.55,486.81,496.1
Aarti Industries,524208,AARTIIND,Chemicals,665.55,1.11,24126.46,6255,434,3207,55.59,5.21,0.38,16.62,11.55,10.44,4.06,28.23,-6.9,16.5,11.7,-26.47,0.97,10.66,43.55,26900.46,35.44,4.8,30.21,3.08,13.82,18.83,19.39,6.63,34.51,32.18,645.94,589.38
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,434.95,-0.11,3941.78,1831.91,194.52,207.14,20.26,,0.46,9.37,13.16,16.12,2.12,11.71,-4.61,,,-2.49,,,46.46,4124.31,-5.84,2.38,55.87,,,,,9.08,19.47,19.47,477.93,439.73
Aarti Surfactant,543210,AARTISURF,Chemicals,552.65,-0.71,467.46,589.15,21.36,138.78,21.88,,0,0,8.36,10.61,1,9.75,-0.96,22.65,,105.78,82.48,,49.81,603.14,-13.52,2.64,27.82,-15.64,,9.76,,3.16,43.32,75.3,640.6,648.42
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,23.85,1.06,55.95,110.65,-53.6,327.02,,,0,0,-71.18,-10.54,1.43,-15.18,-65.74,-22.69,-20.61,33.5,-30.58,,65.8,374.36,-0.42,1.88,38.26,10.87,0.51,-40.18,-22.38,-11.56,,37.18,29.11,27.04
Aarvi Encon,,AARVI,Miscellaneous,119.2,0.63,176.23,409.34,11.76,8.62,14.99,0.99,1.68,20.37,15.05,17.52,0.39,10.78,-2.82,26.03,20.27,-19.23,28.69,15.2,73.54,169.97,-4.56,1.55,17.27,34.49,23.79,13.96,12.95,9.94,12.7,10.71,134.21,136.41
Aashka Hospitals,543346,,Healthcare,77.53,1.27,181.42,18.21,-1.68,25.03,,,0,0,-2.7,0.42,10.85,34.25,-20.34,-11.4,,55.79,,,61.28,205.48,25.45,1.92,79.84,,,2.11,,-2,19.19,19.19,76.08,63.61
AastamangalamFin,511764,,Finance & Investments,46.01,-2.6,40.99,5.97,2.35,35.91,17.44,0.45,0,0,7.7,8.37,19.05,11.79,172.6,37.45,25.41,176.47,264.26,38.94,35.24,63.81,19.23,1.16,61.44,54.73,-5.12,4.42,3.45,3.85,11.72,14.96,46.89,43.26
Aatmaj Health,,AATMAJ,Healthcare,31.25,-3.4,70.63,23.74,5.91,10.6,11.95,,0,0,52.65,46.64,2.61,6.27,17.18,79.13,,17.03,188,,63.72,61.87,-31.32,1.39,,,,83.38,,24.38,11.03,11.03,38.5,43.78
AAVAS Financiers,541988,AAVAS,Finance - Housing,1315.65,-0.59,10412.02,1920.98,474.83,11199.56,21.93,0.61,0,0,14.14,9.51,12.19,13.91,26.06,21.25,26.65,13.33,19.94,35.8,39.1,19609.93,-24.36,2.96,-18.1,-18.11,2.62,13.63,13.2,3.52,43.12,48.08,1420.34,1536.46
Aayush Food&Herb,539528,,Trading,175.75,1.97,57.03,1.69,0.1,0,570.3,,0,0,-8.95,-5.1,7.02,568.4,-87.06,-60.09,-46.66,109.62,,,0,56.84,560.71,11.91,772.21,86.48,40.41,-12.03,-2.88,-5.25,22.56,13.99,122.5,67.72
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,244.4,-5,251.54,208.68,3.33,92.47,75.54,6.92,0,0,4.74,5.79,2.03,17.91,39.64,21.57,6.88,-5.4,30.92,10.91,34.91,343.61,185.85,5.58,496.1,,,13.86,11.77,1.66,13.01,13.01,245.13,134.97
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,49.75,1.84,290.37,335.15,-1356.22,15222.63,,,0,0,,,38.96,-98.54,-25.85,-25.87,-23.01,36.62,23.16,9.1,46,15454.66,3,,49.85,19.1,-2.8,,,-50.3,,,63.21,56
ABans Enterprise,512165,,Trading,115.9,0.61,161.68,1549.06,11.92,112.12,13.56,,0.09,0,8.88,8.09,0.14,8.83,-27.82,-25.61,,-60.41,-15.17,,74.56,261.01,-35.61,0.89,-34.89,0.57,23.19,15.04,,5.66,6.74,7.42,136.05,151.47
Abans Holdings,543712,AHL,Finance & Investments,266.3,-1.72,1335.39,1681.86,83.27,716.49,16.04,,0,0,8.9,7.91,1.54,12.51,80.38,-25.12,,15.13,22.99,,71.94,1788.96,-22.24,1.53,24.99,,,8.79,,4.58,21.08,21.08,303.6,301.64
Abate As Indust,531658,,Trading,26.04,0,13.07,0,-0.29,0.62,,,0,0,-184.21,-57.85,-676,-46.62,100,,,47.27,,,31.87,13.52,27.58,,55,105.51,60.04,-49.82,-24.63,-56,102.31,91.56,21.17,14.37
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27120.8,1.53,57631.7,5753.36,1145.58,91.54,50.31,2.68,0.66,72.74,31.61,41.13,10.43,34.42,9.37,9.33,10.15,23.26,16.97,18.79,74.99,55771.69,17,18.54,24.58,21.59,30,29.63,28.26,21.63,50.07,50.26,27178.3,24659.41
ABC Gas (Int.),513119,,Trading,58.93,1.66,11.67,0.01,-0.84,0.89,,,0,0,-3.7,-1.31,627,-24.12,-66.67,-74.17,-58.27,12.5,17.33,-19.73,19.88,12.54,2.93,3.31,113.75,83.74,37.48,-29.89,-19.14,-1.66,,30.6,56.96,52.2
ABC India,520123,,Miscellaneous,111.55,-1.41,60.43,161.92,3.03,22.1,19.94,1.11,0.45,6.35,6.16,7.64,0.55,12.25,11.58,-13.04,4.47,70.22,-17,18.02,64.69,80.46,19.18,1.41,61.55,20.28,15.96,6.97,10.08,2.78,19.58,17.93,123.53,109.35
Abhinav Capital,532057,,Finance & Investments,167.2,-5,115.78,15.32,10.05,38.41,11.52,0.5,0,0,18.11,23.2,8.48,7.68,29.5,44.63,20.73,16.45,111.03,22.92,71.48,111.29,33.76,1.48,87.76,76.32,18.21,12.72,10.82,16.49,9.98,10.97,171.23,139.08
Abhinav Leasing,538952,,Finance & Investments,2.01,-1.95,10.05,24.16,0.6,25.5,16.75,0.83,0,0,1.78,47.46,0.82,18.96,-54.29,12.5,14.86,1900,71,20.11,3.66,35.46,2.55,1.77,18.24,37.69,4.67,1.49,0.9,0.2,102.5,100.5,2.29,2.26
Abhishek Finle.,538935,,Finance & Investments,31.35,0,13.37,0.79,0.15,0.05,89.13,10.55,0,0,2.17,3.33,26.29,49.29,92.68,3.15,-31.8,-10,46.2,8.45,72.74,11.83,29.55,3.09,20.11,34.76,,2.47,1.3,1.96,106.62,105.57,31.38,28.29
Abhishek Integr.,,AILIMITED,Construction,35.9,1.84,21.62,24.62,0.61,3.58,35.44,,0,0,8.24,12.09,1.11,15.21,47.69,213.77,,10.91,181.61,,67.72,25.1,19.67,2.47,84.1,,,,,5.25,24.46,24.46,34.09,29.07
Abirami Fin.,511756,,Finance & Investments,39.28,-1.8,21.21,0,1.24,0,17.1,0.12,5.09,8.22,97.07,123.6,,2.82,,,,-91.47,350.21,143.66,65.65,2.09,48.23,1.04,115.23,121.8,35.31,46.3,30.91,85.36,17.47,24.47,37.5,31.49
ABM Knowledge,531161,,Computers - Software - Medium / Small,99.95,2.51,199.92,71.34,12.18,0,16.41,-7.63,1.25,19.88,6.29,8.33,2.8,11.01,2.13,2.89,1.62,0.08,-5.6,-2.15,66.93,183.61,10.05,0.93,36.56,-4.64,10.06,8.22,8.81,5.44,13.87,12.06,111.09,108.16
ACC,500410,ACC,Cement - North India,2491.7,1.53,46790.95,19341.11,1674.44,406.82,27.94,17.25,0.37,19.65,7.06,10.03,2.08,14.44,11.03,12.36,10.82,131.14,-9.61,1.62,56.69,46191.81,23.83,3.16,53.25,9.96,8.38,11.16,12.05,4.83,29.08,22.28,2483.24,2224.06
Accedere,531533,,Computers - Software - Medium / Small,93.58,-3.07,47.07,2.28,-0.08,0.25,,,0,0,-0.73,-2.27,29.52,564.63,74.05,25.72,,-3405.56,0,,72.72,45.17,37.64,11.42,44.19,106.55,94.06,-0.24,,-1.75,188.67,120.97,76.72,66.37
Accel,517494,,Computers - Software - Medium / Small,18.84,-5.37,108.47,166.52,1.78,72.8,60.94,2.93,1.59,60.79,3.77,10.63,1.15,8.43,19.31,119.02,82.49,-65.7,36.1,20.83,71.62,179.48,-10.16,1.69,60.07,5.64,15.51,1.61,-1.7,1.5,30.06,30.06,23.22,22.1
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,314.95,4.98,67.68,5.51,0.8,0.71,84.6,,0,0,,,23.83,50.55,,,,,,,70.59,66.73,37.86,20.38,,,,,,,79.14,79.14,268.13,209.84
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1680.25,-2.47,2508.61,494,122.38,11.4,20.5,3.57,3.87,76.58,44.25,56.12,5.2,12.36,16.7,4.44,4.18,18.46,10.82,5.74,74.66,2439.14,3.04,8.68,45.88,24.69,12.86,31.12,36.75,32.54,22.03,19.41,1745.21,1574.23
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,245.75,6,517.13,204.19,13.01,5.86,39.75,,0,7.96,34.11,29.26,2.56,23.6,23.22,15.87,,120.88,46,,53.67,522.76,,,,,,25.81,,12.47,27.86,27.86,270.66,296.69
Accord Synergy,,ACCORD,Telecommunications - Service Provider,29.5,-4.99,10.24,29.12,0.57,0,17.96,-0.39,0,0,0.7,0.6,0.5,10.57,79.2,-32.96,-18.43,113.8,-61.48,-46.11,71.99,10.04,10.9,0.7,37.21,16.1,3.37,-9.79,0.15,0.57,15.3,5.31,28.05,28.19
Accuracy Shippi.,,ACCURACY,Miscellaneous,9.9,-1.98,149.05,714.53,-2.98,98.95,,,0.25,0,7.59,11.02,0.27,10.84,-25.16,36.08,,-30.13,24.02,,63.69,238.06,19.28,1.36,-25.28,25.49,4.62,12.78,,2.68,19.27,15.85,11.65,11.8
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,30.8,-3.9,31.42,6.91,0.47,0.22,66.85,,0,0,,,4.26,34.67,,,,,,,73.53,29.47,-13.48,1.72,-14.21,47.34,5.27,,,,79.62,79.62,36.07,37.78
Ace Men,539661,,Trading,46,0.63,14.25,4.16,-0.65,0,,,0,0,0.8,1.06,1.88,-23.33,-43.94,,86.05,-171.43,37.51,20.11,2.55,14.23,-21.04,3.73,-29.23,10.39,17.6,7.72,4.57,0.42,24,33.97,49.16,54.25
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,91.22,-1.97,42.69,7.91,3.31,0,12.9,-0.41,0,0,0.81,1.29,4.13,11.74,-27.63,4.13,3.45,6520,27.67,-31.09,74.96,42.61,244.23,1.99,452.85,96.24,30.45,-2.26,-4.01,0.72,109.03,35.92,85.35,50.13
Achyut Healthcar,543499,,Trading,51.99,11.98,87.48,2.29,0.25,0,349.92,,0,0,1.95,2.63,32.35,207.98,-29.1,101.5,,31.58,184.39,,44.8,87.35,-8.79,4.93,35.74,,,1.68,,1.82,201.58,201.58,53.27,42.02
ACI Infocom,517356,,Computers - Software - Medium / Small,1.84,-1.6,20.33,0.81,0.19,0,107,-11.93,0,0,0.6,0.84,,68.21,15.71,,,280,74.72,-8.97,22.88,19.78,46.03,1.2,159.15,87.31,43.73,0.64,0.36,0.58,73,68.33,1.9,1.51
Acknit Indus.,530043,,Textiles - Products,223.1,0.25,67.82,205.19,7.74,30.55,8.76,0.35,0.67,5.06,13.71,12.88,0.41,6.04,-17.47,12.03,8.28,-15.13,27.41,24.99,50.35,97.49,4.74,0.92,59.87,35.34,19.78,12.68,11.8,6.48,5.59,5.3,253.32,240.98
Acme Resources,539391,,Finance & Investments,42.84,-1.99,110.29,29.89,12.6,11.51,8.75,0.16,0,0,10.41,13.21,4.22,7.06,156.13,23.84,7.49,158.73,210.89,54.31,73.43,121.69,85.05,0.87,194.43,29.23,28.98,0.29,-1.52,9.44,8.94,7.16,47.09,37.4
Acrow India,513149,,Diversified - Medium / Small,730.05,0.7,46.72,0,0.62,0,75.35,-119.6,0,0,-1.48,-1.8,,37.07,,,,2166.67,-29.53,-0.63,54.63,46.71,-8.3,2.06,-26.99,79.44,42.33,-2.34,-1.37,-1.48,81.69,80,750.54,781.78
Action Const.Eq.,532762,ACE,Engineering,1426.65,1.26,16989,2691.8,276.86,60.75,61.36,2.46,0.07,6.94,18.78,26.17,7.86,41.78,30.9,23.15,14.73,73.85,44.84,24.94,66.76,16968.41,107.21,16.27,261.27,109.66,65.59,17.24,15.85,10.99,28.24,25.52,1191.35,879.96
Active Clothing,541144,,Textiles - Products,114.75,9.29,178,218.33,3.91,83.37,45.52,-41.01,0,0,3.57,7.98,1.3,14.01,19.42,10.66,9.52,87.08,38,-1.11,73.58,261.1,63,2.66,182.98,101.62,29.92,1.52,2.2,1.4,43.77,38.52,102.8,82.62
AD Manum Finance,511359,,Finance & Investments,55,2.23,41.25,7.19,3.89,21.82,10.6,0.41,0,0,8.15,11.15,6.83,9.23,-26.56,-2.55,-9.15,-12.98,0.98,25.9,74.45,62.73,18.03,0.64,17.45,48.19,20.67,6.17,5.14,7.03,8.67,7.77,61.01,55.39
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1026.7,1.17,114527.63,15258.17,1165.29,36030.81,98.28,47.25,0,0,11.65,10.22,11.13,23.64,18.19,5.2,27.5,9.19,20.99,2.08,73.22,147934.79,26.71,9.63,2.32,5.37,36.41,12.75,11.2,2.53,132.99,82.02,1043.22,1068.53
Adani Enterp.,512599,ADANIENT,Trading,3197.1,2.4,364469.76,107638.21,3754.13,57144.64,97.09,3.55,0.04,5.53,9.63,9.49,3.03,30.61,-17.52,46.68,30.69,92.99,45.78,27.34,72.61,414775.72,32.45,9.94,83.7,45.8,85.2,7.01,6.27,2.19,147.7,103.39,3106.09,2786.13
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1835.15,0.69,290693.72,9291,1644.3,57378,176.79,2.9,0,0,22.83,7.81,44.27,38.07,39.69,45.13,39.4,159.96,192.32,61.05,56.37,344988.72,85.9,36.64,105.19,16.6,118.14,19.01,10.47,1.8,540.61,596,1798.41,1458.48
Adani Ports,532921,ADANIPORTS,Miscellaneous,1341.85,1.44,289858.24,25610.91,8803.01,50060.34,32.93,3.04,0.37,20.34,14.42,9.53,16.03,20.32,33.42,20.65,12.99,67.55,18.08,10.82,65.89,334232.99,62.62,5.95,110.77,23.61,28.83,15.33,15.7,6.06,27.92,26.15,1247.47,1019.89
Adani Power,533096,ADANIPOWER,Power Generation And Supply,533.8,3.34,205883.4,47229.62,23334.03,32367.23,8.82,0.18,0,0,44.77,15.8,6.07,9.34,20.7,13.57,13.81,130.35,120.48,48.14,71.75,235485.24,41.42,5.08,192.49,81.35,61.76,34.27,24.28,12.83,12.1,16.26,537.13,440.2
Adani Total Gas,542066,ATGL,Miscellaneous,926.55,0.73,101902.9,4422.57,597.45,1356.42,170.56,6.08,0.03,5.03,20.39,20.74,23.51,97.38,3.44,32.68,26.09,12.8,8.19,28.06,74.8,102932.55,51.09,31.49,6.29,0.57,48.41,23.31,24.71,10.86,276.59,156.43,974.45,994.03
Adani Wilmar,543458,AWL,Solvent Extraction,321.4,-0.65,41771.67,51896.23,138.09,3834.01,302.5,,0,0,7.41,15.01,0.73,30.51,-12.38,25.19,,-80.9,8.22,,87.87,42682.87,-4.74,5.25,-16.85,,,13.01,,2.76,100.9,100.9,351.29,373.89
Adarsh Plant,526711,,Pumps,26.73,3.97,26.49,17.34,0.32,4.87,82.78,5.12,0,0,15.56,5.44,1.81,55.66,-2.2,10.64,9.59,164,141.01,16.18,70.63,31.17,-1,24.76,27.89,64.54,45.71,20.09,-13.26,1.72,87.19,88.1,27.01,24.67
ADC India,523411,,Telecommunications - Equipment,884.4,0.3,406.82,169.14,12.9,0,31.54,1.73,0.45,22.52,15.99,21.8,2.65,21.53,18.41,22.3,17.16,8.13,29.07,18.21,72.02,378.94,22.65,7.07,56.21,61.97,31.26,14.55,13.53,10.6,26.95,22.72,955.57,858.81
Adcon Capital,539506,,Finance & Investments,0.83,-1.19,15.49,1.63,0.24,0,64.54,,0,0,-3.99,-3.93,26.43,30.2,262.22,29.14,13.3,241.18,,,0,14.8,-43.15,0.87,-52.84,-31.03,-27.06,-0.61,-0.22,-3.97,565,565,1.36,1.84
Add-Shop E-Reta.,541865,,Trading,18.71,-6.54,52.97,191.57,12.6,11.82,4.2,0.03,0,0,26.35,38.05,0.32,2.84,-3.88,74.5,74.98,-43.47,150.9,142.45,27.2,63.6,-47.22,0.46,-47.41,-11.44,21.83,38.57,35.06,19.12,9.79,14.48,26.73,33.6
Addi Industries,507852,,Textiles - Products,54.29,-3.05,58.61,0,3.23,0.08,18.15,0.29,2.3,0,3.62,4.62,,-1.06,,,,7.67,73.28,62.37,74.27,-4.57,28.35,0.77,91.84,129.52,46.66,2.22,0.86,3.55,17.15,17.4,55.16,48.44
Addictive Learn,,LAWSIKHO,Miscellaneous,211.85,-2.55,337.05,33.53,2.47,0.16,136.46,,0,0,340.69,552.49,10.01,65.78,80.56,,,604.08,,,66.07,335.5,,,,,,,,48.24,0.12,0.12,266.41,287.34
Adeshwar Meditex,543309,,Healthcare,32.9,6.13,47.48,82.56,1.72,13.5,27.6,-6.88,0,0,6.48,9.99,0.71,11.77,2.43,13.64,7.04,43.33,-0.79,-4.01,42.65,58.5,46.22,1.41,96.42,,,5.99,8.24,2.97,20.48,20.48,29.85,27.4
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,184.95,-0.46,2031.93,489.8,64.84,6.78,31.34,1.3,0.54,19.92,14.23,16.96,4.33,18.21,12.51,16.44,17.52,27.24,7.48,24.14,36.28,1947.67,-11.63,4.62,37.2,1.03,31.01,16.74,17.4,10.84,33.32,31.75,196.09,198.34
Adhbhut Infra.,539189,,Construction,30.78,-1.94,33.86,3.48,1.2,2.74,28.22,0.48,0,0,,99.25,17.17,13.95,2.96,127.52,,487.1,84.39,58.26,73.49,36.4,-91.09,,-84.5,-45.97,-23.87,,,2.93,55.55,55.55,42.01,90.34
Adinath Exim Res,532056,,Finance & Investments,25.89,4.73,11.18,1.02,0.77,0,14.52,1.3,0,0,4.06,4.06,11.17,14.89,2,13.72,10.39,196.15,22.49,11.2,62.04,11.17,43.51,0.61,89.53,65.61,26.86,3.21,2.85,3.99,17.4,12.47,26.39,22.79
